id,name,location,href,company,gbfs_href,system,source,ebikes,license,scooters,instances,latitude,longitude,country
abu-dhabi-careem-bike,Abu Dhabi Careem BIKE,"{'latitude': 24.4866, 'longitude': 54.3728, 'city': 'Abu Dhabi', 'country': 'AE'}",/v2/networks/abu-dhabi-careem-bike,['Careem'],https://dubai.publicbikesystem.net/customer/gbfs/v2/en/gbfs.json,,,,,,,24.4866,54.3728,AE
acces-velo-saguenay,Accès Vélo,"{'latitude': 48.433333, 'longitude': -71.083333, 'city': 'Saguenay', 'country': 'CA'}",/v2/networks/acces-velo-saguenay,['PBSC Urban Solutions'],https://saguenay.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,,,,,48.433333,-71.083333,CA
aksu,Aksu,"{'latitude': 41.1664, 'longitude': 80.2617, 'city': '阿克苏市 (Aksu City)', 'country': 'CN'}",/v2/networks/aksu,['阿克苏公共服务'],,,,,,,,41.1664,80.2617,CN
alba,Alba,"{'latitude': 44.716667, 'longitude': 8.083333, 'city': 'Alba', 'country': 'IT'}",/v2/networks/alba,['Comunicare S.r.l.'],,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=139,,,,,44.716667,8.083333,IT
albabici,AlbaBici,"{'latitude': 38.9943, 'longitude': -1.8602, 'city': 'Albacete', 'country': 'ES'}",/v2/networks/albabici,['Instituto Tecnológico de Castilla y León (ITCL)'],,bicicard,,,,,,38.9943,-1.8602,ES
algira,AlGira,"{'latitude': 39.2082, 'longitude': -8.6252, 'city': 'Almeirim', 'country': 'PT'}",/v2/networks/algira,"['Município de Almeirim', 'Wegoshare, Lda']",,,,True,,,,39.2082,-8.6252,PT
almatybike,Almatybike,"{'latitude': 43.239101, 'longitude': 76.9268076, 'city': 'Almaty', 'country': 'KZ'}",/v2/networks/almatybike,"['Velobike.kz, LLP', 'Smoove']",,Velobike,,,,,,43.239101,76.9268076,KZ
alsa-nextbike-leon,Alsa nextbike León,"{'latitude': 42.5987263, 'longitude': -5.5670959, 'city': 'León', 'country': 'ES'}",/v2/networks/alsa-nextbike-leon,['Leonbici Nextbike Gmbh Y Autobuses Urbanos De Leon S.a. Ute'],,Nextbike,,,,,,42.5987263,-5.5670959,ES
ambici-amb,Ambici,"{'latitude': 41.44584, 'longitude': 2.19902, 'city': 'Barcelona', 'country': 'ES'}",/v2/networks/ambici-amb,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.44584,2.19902,ES
ambici-badalona,Ambici,"{'latitude': 41.447, 'longitude': 2.245, 'city': 'Badalona', 'country': 'ES'}",/v2/networks/ambici-badalona,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.447,2.245,ES
ambici-castelldefels,Ambici,"{'latitude': 41.2816, 'longitude': 1.97678, 'city': 'Castelldefels', 'country': 'ES'}",/v2/networks/ambici-castelldefels,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.2816,1.97678,ES
ambici-cornella-de-llobregat,Ambici,"{'latitude': 41.3585, 'longitude': 2.07081, 'city': 'Cornellà de Llobregat', 'country': 'ES'}",/v2/networks/ambici-cornella-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3585,2.07081,ES
ambici-el-prat-de-llobregat,Ambici,"{'latitude': 41.3239, 'longitude': 2.09317, 'city': 'El Prat de Llobregat', 'country': 'ES'}",/v2/networks/ambici-el-prat-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3239,2.09317,ES
ambici-esplugues-de-llobregat,Ambici,"{'latitude': 41.3771, 'longitude': 2.08938, 'city': 'Esplugues de Llobregat', 'country': 'ES'}",/v2/networks/ambici-esplugues-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3771,2.08938,ES
ambici-gava,Ambici,"{'latitude': 41.303, 'longitude': 2.00269, 'city': 'Gavà', 'country': 'ES'}",/v2/networks/ambici-gava,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.303,2.00269,ES
ambici-hospitalet-de-llobregat,Ambici,"{'latitude': 41.3631, 'longitude': 2.1126, 'city': 'Hospitalet de Llobregat', 'country': 'ES'}",/v2/networks/ambici-hospitalet-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3631,2.1126,ES
ambici-molins-de-rei,Ambici,"{'latitude': 41.4132, 'longitude': 2.02037, 'city': 'Molins de Rei', 'country': 'ES'}",/v2/networks/ambici-molins-de-rei,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.4132,2.02037,ES
ambici-sant-adria-de-besos,Ambici,"{'latitude': 41.43073, 'longitude': 2.21855, 'city': 'Sant Adrià de Besòs', 'country': 'ES'}",/v2/networks/ambici-sant-adria-de-besos,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.43073,2.21855,ES
ambici-sant-boi-de-llobregat,Ambici,"{'latitude': 41.3458, 'longitude': 2.03404, 'city': 'Sant Boi de Llobregat', 'country': 'ES'}",/v2/networks/ambici-sant-boi-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3458,2.03404,ES
ambici-sant-feliu-de-llobregat,Ambici,"{'latitude': 41.38333, 'longitude': 2.05, 'city': 'Sant Feliu de Llobregat', 'country': 'ES'}",/v2/networks/ambici-sant-feliu-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.38333,2.05,ES
ambici-sant-joan-despi,Ambici,"{'latitude': 41.368, 'longitude': 2.05635, 'city': 'Sant Joan Despí', 'country': 'ES'}",/v2/networks/ambici-sant-joan-despi,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.368,2.05635,ES
ambici-sant-just-desvern,Ambici,"{'latitude': 41.3807, 'longitude': 2.07496, 'city': 'Sant Just Desvern', 'country': 'ES'}",/v2/networks/ambici-sant-just-desvern,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3807,2.07496,ES
ambici-santa-coloma-de-gramenet,Ambici,"{'latitude': 41.4459, 'longitude': 2.21033, 'city': 'Santa Coloma de Gramenet', 'country': 'ES'}",/v2/networks/ambici-santa-coloma-de-gramenet,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.4459,2.21033,ES
ambici-viladecans,Ambici,"{'latitude': 41.3165, 'longitude': 2.01306, 'city': 'Viladecans', 'country': 'ES'}",/v2/networks/ambici-viladecans,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,,41.3165,2.01306,ES
andria,Andria in Bici,"{'latitude': 41.224346932834, 'longitude': 16.296983922753956, 'city': 'Andria', 'country': 'IT'}",/v2/networks/andria,['Comunicare S.r.l.'],,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=192,,,,,41.224346932834,16.296983922753956,IT
aral,Aral,"{'latitude': 40.5577, 'longitude': 81.2879, 'city': '阿拉尔市 (Aral)', 'country': 'CN'}",/v2/networks/aral,['阿克苏公共服务'],,,,,,,,40.5577,81.2879,CN
arbike,ARbike,"{'latitude': 43.473333, 'longitude': 11.87, 'city': 'Arezzo', 'country': 'IT'}",/v2/networks/arbike,['Comunicare S.r.l.'],,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=84,,,,,43.473333,11.87,IT
arriva-nitra,Arriva,"{'latitude': 48.3088, 'longitude': 18.0783, 'city': 'Nitra', 'country': 'SK'}",/v2/networks/arriva-nitra,['Nextbike GmbH'],,,,,,,,48.3088,18.0783,SK
arval-scandicci,ARVAL,"{'latitude': 43.7701, 'longitude': 11.1592, 'city': 'Scandicci', 'country': 'IT'}",/v2/networks/arval-scandicci,['Nextbike GmbH'],,Nextbike,,,,,,43.7701,11.1592,IT
ascoli-piceno,Ascoli Piceno,"{'latitude': 42.85, 'longitude': 13.583333, 'city': 'Ascoli Piceno', 'country': 'IT'}",/v2/networks/ascoli-piceno,['Comunicare S.r.l.'],,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=73,,,,,42.85,13.583333,IT
athens-bikes,AthensBikes,"{'latitude': 37.9838, 'longitude': 23.7275, 'city': 'Athens', 'country': 'GR'}",/v2/networks/athens-bikes,"['Brainbox Technology', 'Smoove SAS']",,EasyBike,,,,,,37.9838,23.7275,GR
auxrmlevelo,AuxR_M le vélo,"{'latitude': 47.797221, 'longitude': 3.572376, 'city': 'Auxerre', 'country': 'FR'}",/v2/networks/auxrmlevelo,['Fifteen SAS'],,Fifteen,,,,,,47.797221,3.572376,FR
avelo-quebec,àVélo,"{'latitude': 46.81305, 'longitude': -71.2168, 'city': 'Québec', 'country': 'CA'}",/v2/networks/avelo-quebec,['PBSC Urban Solutions'],https://quebec.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,,,,,46.81305,-71.2168,CA
aventura,Aventura BCycle,"{'latitude': 25.95711, 'longitude': -80.1395, 'city': 'Aventura, FL', 'country': 'US'}",/v2/networks/aventura,"['BCycle, LLC']",https://gbfs.bcycle.com/bcycle_aventura/gbfs.json,BCycle,,,,,,25.95711,-80.1395,US
aviles-en-bici,Avilés en Bici,"{'latitude': 43.5554, 'longitude': -5.9222, 'city': 'Avilés', 'country': 'ES'}",/v2/networks/aviles-en-bici,['Instituto Tecnológico de Castilla y León (ITCL)'],,bicicard,,,,,,43.5554,-5.9222,ES
aw-bike,AW-bike Ahrweiler,"{'latitude': 50.5452, 'longitude': 7.1212, 'city': 'Ahrweiler', 'country': 'DE'}",/v2/networks/aw-bike,['nextbike GmbH'],https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_rh/gbfs.json,,,,,,,50.5452,7.1212,DE
baksi-antalya,Baksi,"{'latitude': 36.862048, 'longitude': 30.638866, 'city': 'Antalya', 'country': 'TR'}",/v2/networks/baksi-antalya,['Baksi Bike Sharing System'],,Baksi,,,,,,36.862048,30.638866,TR
baksi-cabis,Çabis,"{'latitude': 40.1531, 'longitude': 26.4146, 'city': 'Çanakkale', 'country': 'TR'}",/v2/networks/baksi-cabis,['Baksi Bike Sharing System'],,Baksi,,,,,,40.1531,26.4146,TR
baksi-nilesplit,Nilesplit,"{'latitude': 40.2127, 'longitude': 28.9627, 'city': 'Nilüfer', 'country': 'TR'}",/v2/networks/baksi-nilesplit,['Baksi Bike Sharing System'],,Baksi,,,,,,40.2127,28.9627,TR
batumvelo,Batumvelo,"{'latitude': 41.660906, 'longitude': 41.678835, 'city': 'Batumi', 'country': 'GE'}",/v2/networks/batumvelo,['Smoove'],,Smoove,,,,,,41.660906,41.678835,GE
bay-wheels,Bay Wheels,"{'latitude': 37.7141454, 'longitude': -122.25, 'city': 'San Francisco Bay Area, CA', 'country': 'US'}",/v2/networks/bay-wheels,['Motivate LLC'],https://gbfs.baywheels.com/gbfs/gbfs.json,,,,,,,37.7141454,-122.25,US
bealler,Pedaleando por Aller (BeALLER),"{'latitude': 43.1482, 'longitude': -5.6295, 'city': 'Aller', 'country': 'ES'}",/v2/networks/bealler,['Instituto Tecnológico de Castilla y León (ITCL)'],,bicicard,,,,,,43.1482,-5.6295,ES
