id,name,location,href,company,gbfs_href,system,source,ebikes,license,scooters,instances
abu-dhabi-careem-bike,Abu Dhabi Careem BIKE,"{'latitude': 24.4866, 'longitude': 54.3728, 'city': 'Abu Dhabi', 'country': 'AE'}",/v2/networks/abu-dhabi-careem-bike,['Careem'],https://dubai.publicbikesystem.net/customer/gbfs/v2/en/gbfs.json,,,,,,
acces-velo-saguenay,Accès Vélo,"{'latitude': 48.433333, 'longitude': -71.083333, 'city': 'Saguenay', 'country': 'CA'}",/v2/networks/acces-velo-saguenay,['PBSC Urban Solutions'],https://saguenay.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,,,,
aksu,Aksu,"{'latitude': 41.1664, 'longitude': 80.2617, 'city': '阿克苏市 (Aksu City)', 'country': 'CN'}",/v2/networks/aksu,['阿克苏公共服务'],,,,,,,
alba,Alba,"{'latitude': 44.716667, 'longitude': 8.083333, 'city': 'Alba', 'country': 'IT'}",/v2/networks/alba,['Comunicare S.r.l.'],,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=139,,,,
albabici,AlbaBici,"{'latitude': 38.9943, 'longitude': -1.8602, 'city': 'Albacete', 'country': 'ES'}",/v2/networks/albabici,['Instituto Tecnológico de Castilla y León (ITCL)'],,bicicard,,,,,
algira,AlGira,"{'latitude': 39.2082, 'longitude': -8.6252, 'city': 'Almeirim', 'country': 'PT'}",/v2/networks/algira,"['Município de Almeirim', 'Wegoshare, Lda']",,,,True,,,
almatybike,Almatybike,"{'latitude': 43.239101, 'longitude': 76.9268076, 'city': 'Almaty', 'country': 'KZ'}",/v2/networks/almatybike,"['Velobike.kz, LLP', 'Smoove']",,Velobike,,,,,
alsa-nextbike-leon,Alsa nextbike León,"{'latitude': 42.5987263, 'longitude': -5.5670959, 'city': 'León', 'country': 'ES'}",/v2/networks/alsa-nextbike-leon,['Leonbici Nextbike Gmbh Y Autobuses Urbanos De Leon S.a. Ute'],,Nextbike,,,,,
ambici-amb,Ambici,"{'latitude': 41.44584, 'longitude': 2.19902, 'city': 'Barcelona', 'country': 'ES'}",/v2/networks/ambici-amb,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-badalona,Ambici,"{'latitude': 41.447, 'longitude': 2.245, 'city': 'Badalona', 'country': 'ES'}",/v2/networks/ambici-badalona,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-castelldefels,Ambici,"{'latitude': 41.2816, 'longitude': 1.97678, 'city': 'Castelldefels', 'country': 'ES'}",/v2/networks/ambici-castelldefels,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-cornella-de-llobregat,Ambici,"{'latitude': 41.3585, 'longitude': 2.07081, 'city': 'Cornellà de Llobregat', 'country': 'ES'}",/v2/networks/ambici-cornella-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-el-prat-de-llobregat,Ambici,"{'latitude': 41.3239, 'longitude': 2.09317, 'city': 'El Prat de Llobregat', 'country': 'ES'}",/v2/networks/ambici-el-prat-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-esplugues-de-llobregat,Ambici,"{'latitude': 41.3771, 'longitude': 2.08938, 'city': 'Esplugues de Llobregat', 'country': 'ES'}",/v2/networks/ambici-esplugues-de-llobregat,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
ambici-gava,Ambici,"{'latitude': 41.303, 'longitude': 2.00269, 'city': 'Gavà', 'country': 'ES'}",/v2/networks/ambici-gava,"['Nextbike GmbH', 'TIER Mobility SE', 'Transports Metropolitans de Barcelona', 'Projectes i Serveis de Mobilitat S.A']",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,Ambici,,,,,
